DATE,BOGMBASEW
2015-08-12,3919236
2015-08-19,3919236
2015-08-26,4059739
2015-09-02,4059739
2015-09-09,4099501
2015-09-16,4099501
2015-09-23,3953008
2015-09-30,3953008
2015-10-07,4055673
2015-10-14,4055673
2015-10-21,4067626
2015-10-28,4067626
2015-11-04,4049452
2015-11-11,4049452
2015-11-18,3999674
2015-11-25,3999674
2015-12-02,3932470
2015-12-09,3932470
2015-12-16,3886726
2015-12-23,3886726
2015-12-30,3637966
2016-01-06,3637966
2016-01-13,3854304
2016-01-20,3854304
2016-01-27,3798761
2016-02-03,3798761
2016-02-10,3880629
2016-02-17,3880629
2016-02-24,3881411
2016-03-02,3881411
2016-03-09,3944061
2016-03-16,3944061
2016-03-23,3855934
2016-03-30,3855934
2016-04-06,3888621
2016-04-13,3888621
2016-04-20,3867263
2016-04-27,3867263
2016-05-04,3831478
2016-05-11,3831478
2016-05-18,3826233
2016-05-25,3826233
2016-06-01,3869813
2016-06-08,3869813
2016-06-15,3861970
2016-06-22,3861970
2016-06-29,3717181
2016-07-06,3717181
2016-07-13,3782897
2016-07-20,3782897
2016-07-27,3789566
2016-08-03,3789566
2016-08-10,3826504
2016-08-17,3826504
2016-08-24,3812767
2016-08-31,3812767
2016-09-07,3843123
2016-09-14,3843123
2016-09-21,3656657
2016-09-28,3656657
2016-10-05,3539862
2016-10-12,3539862
2016-10-19,3581010
2016-10-26,3581010
2016-11-02,3624724
2016-11-09,3624724
2016-11-16,3640392
2016-11-23,3640392
2016-11-30,3615014
2016-12-07,3615014
2016-12-14,3579045
2016-12-21,3579045
2016-12-28,3406680
2017-01-04,3406680
2017-01-11,3612501
2017-01-18,3612501
2017-01-25,3635183
2017-02-01,3635183
2017-02-08,3738343
2017-02-15,3738343
2017-02-22,3763651
2017-03-01,3763651
2017-03-08,3879133
2017-03-15,3879133
2017-03-22,3843153
2017-03-29,3843153
2017-04-05,3834632
2017-04-12,3834632
2017-04-19,3831637
2017-04-26,3831637
2017-05-03,3748107
2017-05-10,3748107
2017-05-17,3779292
2017-05-24,3779292
2017-05-31,3802234
2017-06-07,3802234
2017-06-14,3796940
